Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Jean-Denis,Garon,Mirabel,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Randall,Garrison,Esquimalt—Saanich—Sooke,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Marie-Hélène,Gaudreau,Laurentides—Labelle,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Leah,Gazan,Winnipeg Centre,Manitoba,NDP,2021-09-20 12:00:00 AM,
,Bernard,Généreux,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Garnett,Genuis,Sherwood Park—Fort Saskatchewan,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Mark,Gerretsen,Kingston and the Islands,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Marilène,Gill,Manicouagan,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Marilyn,Gladu,Sarnia—Lambton,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Joël,Godin,Portneuf—Jacques-Cartier,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Laila,Goodridge,Fort McMurray—Cold Lake,Alberta,Conservative,2021-09-20 12:00:00 AM,
Hon.,Karina,Gould,Burlington,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Jacques,Gourde,Lévis—Lotbinière,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Tracy,Gray,Kelowna—Lake Country,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Matthew,Green,Hamilton Centre,Ontario,NDP,2021-09-20 12:00:00 AM,
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20 12:00:00 AM,
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20 12:00:00 AM,
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20 12:00:00 AM,
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20 12:00:00 AM,
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20 12:00:00 AM,
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20 12:00:00 AM,
,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Lloyd,Longfield,Guelph,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Heath,MacDonald,Malpeque,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Alistair,MacGregor,Cowichan—Malahat—Langford,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Dave,MacKenzie,Oxford,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Larry,Maguire,Brandon—Souris,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,James,Maloney,Etobicoke—Lakeshore,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Richard,Martel,Chicoutimi—Le Fjord,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Brian,Masse,Windsor West,Ontario,NDP,2021-09-20 12:00:00 AM,
,Lindsay,Mathyssen,London—Fanshawe,Ontario,NDP,2021-09-20 12:00:00 AM,
,Bryan,May,Cambridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Elizabeth,May,Saanich—Gulf Islands,British Columbia,Green Party,2021-09-20 12:00:00 AM,
,Dan,Mazier,Dauphin—Swan River—Neepawa,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Kelly,McCauley,Edmonton West,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Ken,McDonald,Avalon,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
Hon.,David,McGuinty,Ottawa South,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,John,McKay,Scarborough—Guildwood,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Ron,McKinnon,Coquitlam—Port Coquitlam,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Greg,McLean,Calgary Centre,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Michael,McLeod,Northwest Territories,Northwest Territories,Liberal,2021-09-20 12:00:00 AM,
,Heather,McPherson,Edmonton Strathcona,Alberta,NDP,2021-09-20 12:00:00 AM,
,Eric,Melillo,Kenora,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Alexandra,Mendès,Brossard—Saint-Lambert,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Marco,Mendicino,Eglinton—Lawrence,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Wilson,Miao,Richmond Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Kristina,Michaud,Avignon—La Mitis—Matane—Matapédia,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Rob,Moore,Fundy Royal,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
,Marty,Morantz,Charleswood—St. James—Assiniboia—Headingley,Manitoba,Conservative,2021-09-20 12:00:00 AM,
,Mike,Morrice,Kitchener Centre,Ontario,Green Party,2021-09-20 12:00:00 AM,
,Rob,Morrison,Kootenay—Columbia,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20 12:00:00 AM,
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Rick,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20 12:00:00 AM,
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20 12:00:00 AM,
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Alain,Rayes,Richmond—Arthabaska,Quebec,Independent,2021-09-20 12:00:00 AM,
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Anna,Roberts,King—Vaughan,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2021-09-20 12:00:00 AM,
Hon.,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Ruby,Sahota,Brampton North,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Ya'ara,Saks,York Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2021-09-20 12:00:00 AM,
