Id,SponsorName,SponsorTitle,Constituency,Political Affiliation,Code,Title,LatestStageName,ParliamentNumber,SessionNumber,BillType,ReceivedRoyalAssent,Ongoing,ReadingsPassed,BillOrigin,FirstStageDate,LastStageDate,TimeAlive
41-2/C-529,Linda Duncan,Member of Parliament,Edmonton—Strathcona,NDP,C-529,An Act to amend the Navigable Waters Protection Act (Slave River),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-529,Linda Duncan,Member of Parliament,Edmonton—Strathcona,NDP,C-529,An Act to amend the Navigable Waters Protection Act (Slave River),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-10,2013-06-10,0 days
40-3/C-529,Don Davies,Member of Parliament,Vancouver Kingsway,NDP,C-529,An Act to amend the Excise Tax Act and the Income Tax Act (extra-energy-efficient products),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-08,2010-06-08,0 days
39-2/C-529,Christiane Gagnon,Member of Parliament,Québec,Bloc Québécois,C-529,An Act to amend the Food and Drugs Act (durable life date),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-01,2008-04-01,0 days
37-3/C-529,Rick Laliberte,Member of Parliament,Desnethé—Missinippi—Churchill River,Liberal,C-529,National Motto Act,First reading in the House of Commons,37,3,Private Member’s Bill,False,False,1,IsHouseBill,2004-05-12,2004-05-12,0 days
41-2/C-530,Barry Devolin,Member of Parliament,Haliburton—Kawartha Lakes—Brock,Conservative,C-530,Trent-Severn Water Authority Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-530,Barry Devolin,Member of Parliament,Haliburton—Kawartha Lakes—Brock,Conservative,C-530,Trent-Severn Water Authority Act,First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-11,2013-06-11,0 days
40-3/C-530,Dennis Bevington,Member of Parliament,Western Arctic,NDP,C-530,An Act to amend the Northwest Territories Act (borrowing limits),Second reading in the House of Commons,40,3,Private Member’s Bill,False,False,2,IsHouseBill,2010-06-10,2011-02-16,251 days
39-2/C-530,Alexa McDonough,Member of Parliament,Halifax,NDP,C-530,International Treaty Accountability Act,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-02,2008-04-02,0 days
41-2/C-531,John Rafferty,Member of Parliament,Thunder Bay—Rainy River,NDP,C-531,Public Transit Operators Protection Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-531,John Rafferty,Member of Parliament,Thunder Bay—Rainy River,NDP,C-531,Public Transit Operators Protection Act,First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-12,2013-06-12,0 days
40-3/C-531,Nicole Demers,Member of Parliament,Laval,Bloc Québécois,C-531,An Act to amend the Criminal Code (hate propaganda),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-10,2010-06-10,0 days
39-2/C-531,Pat Martin,Member of Parliament,Winnipeg Centre,NDP,C-531,An Act to amend the Currency Act and the Royal Canadian Mint Act (abolition of the cent),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-02,2008-04-02,0 days
