SponsorInfo
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 44-1/S-10
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 41-1/S-10
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-10
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-10
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-3/S-10
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 37-2/S-10
Name: Mira Spivak
Title: Senator
Constituency: None"
"ID: 37-1/S-10
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 36-2/S-10
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-1/S-10
Name: Consiglio Di Nino
Title: Senator
Constituency: None"
"ID: 35-2/S-10
Name: Fernand Roberge
Title: Senator
Constituency: None"
"ID: 35-1/S-10
Name: David Tkachuk
Title: Senator
Constituency: None"
"ID: 44-1/S-11
Name: Marc Gold
Title: Senator
Constituency: None"
"ID: 41-1/S-11
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-11
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-11
Name: Jean Lapointe
Title: Senator
Constituency: None"
"ID: 37-3/S-11
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 37-2/S-11
Name: Jean-Robert Gauthier
Title: Senator
Constituency: None"
"ID: 37-1/S-11
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 36-2/S-11
Name: Raymond Perrault
Title: Senator
Constituency: None"
"ID: 36-1/S-11
Name: Erminie Cohen
Title: Senator
Constituency: None"
"ID: 35-2/S-11
Name: Consiglio Di Nino
Title: Senator
Constituency: None"
"ID: 35-1/S-11
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 41-1/S-12
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-12
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-12
Name: Mira Spivak
Title: Senator
Constituency: None"
"ID: 37-3/S-12
Name: Pierre Claude Nolin
Title: Senator
Constituency: None"
"ID: 37-2/S-12
